,SalePrice,BsmtQualnewvar,FireplaceQunewvar,GarageTypenewvar
0,208500,Gd,Missing,Attchd
1,181500,Gd,TA,Attchd
2,223500,Gd,TA,Attchd
3,140000,TA,Gd,Detchd
4,250000,Gd,TA,Attchd
5,143000,Gd,Missing,Attchd
6,307000,Ex,Gd,Attchd
7,200000,Gd,TA,Attchd
8,129900,TA,TA,Detchd
9,118000,TA,TA,Attchd
10,129500,TA,Missing,Detchd
11,345000,Ex,Gd,BuiltIn
12,144000,TA,Missing,Detchd
13,279500,Gd,Gd,Attchd
14,157000,TA,Fa,Attchd
15,132000,TA,Missing,Detchd
16,149000,TA,TA,Attchd
17,90000,Missing,Missing,CarPort
18,159000,TA,Missing,Detchd
19,139000,TA,Missing,Attchd
20,325300,Ex,Gd,BuiltIn
21,139400,TA,Gd,Attchd
22,230000,Gd,Gd,Attchd
23,129900,Gd,TA,Attchd
24,154000,TA,TA,Attchd
25,256300,Gd,Gd,Attchd
26,134800,TA,Missing,Detchd
27,306000,Ex,Gd,Attchd
28,207500,TA,Gd,Attchd
29,68500,TA,Missing,Detchd
30,40000,TA,Missing,Detchd
31,149350,TA,Missing,Attchd
32,179900,Ex,Missing,Attchd
33,165500,TA,Gd,Attchd
34,277500,Ex,Gd,Attchd
35,309000,Ex,Gd,BuiltIn
36,145000,Gd,Missing,Attchd
37,153000,TA,TA,Attchd
38,109000,TA,Missing,Detchd
39,82000,Missing,Missing,Missing
40,160000,TA,TA,Attchd
41,170000,TA,Gd,Attchd
42,144000,Gd,Missing,Attchd
43,130250,Gd,Missing,Detchd
44,141000,TA,Missing,Attchd
45,319900,Ex,Gd,Attchd
46,239686,Ex,Ex,Attchd
47,249700,Gd,Missing,Attchd
48,113000,TA,Missing,Missing
49,127000,TA,Missing,Attchd
50,177000,Gd,Missing,Attchd
51,114500,TA,Gd,Detchd
52,110000,Gd,Missing,CarPort
53,385000,Ex,Gd,Attchd
54,130000,TA,TA,Detchd
55,180500,TA,Gd,Attchd
56,172500,Gd,Missing,Attchd
57,196500,Gd,Missing,Attchd
58,438780,Ex,Gd,BuiltIn
59,124900,TA,Missing,Detchd
60,158000,Gd,Missing,Detchd
61,101000,TA,Missing,Detchd
62,202500,Gd,Gd,Attchd
63,140000,TA,Missing,Detchd
64,219500,Gd,Missing,Attchd
65,317000,Ex,Gd,BuiltIn
66,180000,Gd,Gd,Attchd
67,226000,Gd,Missing,Attchd
68,80000,TA,Missing,Attchd
69,225000,TA,TA,Attchd
70,244000,Gd,Gd,Attchd
71,129500,TA,Missing,Detchd
72,185000,Gd,TA,Attchd
73,144900,TA,Missing,Attchd
74,107400,Fa,Missing,Detchd
75,91000,Gd,Missing,BuiltIn
76,135750,TA,Missing,Detchd
77,127000,TA,Missing,Detchd
78,136500,TA,Missing,Missing
79,110000,TA,Missing,Detchd
80,193500,Gd,Gd,Attchd
81,153500,Ex,Missing,Attchd
82,245000,Gd,Gd,Attchd
83,126500,TA,Missing,Detchd
84,168500,Gd,TA,BuiltIn
85,260000,Gd,TA,Attchd
86,174000,Gd,Gd,BuiltIn
87,164500,Gd,Missing,Detchd
88,85000,TA,Missing,Missing
89,123600,Gd,Missing,Missing
90,109900,Missing,Missing,Detchd
91,98600,TA,Missing,Attchd
92,163500,Gd,Missing,Detchd
93,133900,TA,Gd,Detchd
94,204750,Gd,Missing,Attchd
95,185000,Gd,TA,BuiltIn
96,214000,Gd,Missing,Attchd
97,94750,TA,Missing,Attchd
98,83000,TA,Missing,Basment
99,128950,TA,Missing,Missing
100,205000,TA,TA,Attchd
101,178000,Gd,TA,Attchd
102,118964,Missing,Missing,Attchd
103,198900,Gd,Missing,Attchd
104,169500,TA,TA,Detchd
105,250000,Ex,Gd,Attchd
106,100000,Fa,Missing,Detchd
107,115000,TA,Missing,Detchd
108,115000,TA,Missing,Missing
109,190000,Gd,TA,Attchd
110,136900,TA,Missing,Attchd
111,180000,Gd,TA,BuiltIn
112,383970,Ex,Gd,BuiltIn
113,217000,Gd,Gd,Basment
114,259500,TA,TA,Detchd
115,176000,Gd,Fa,Detchd
116,139000,TA,Po,Attchd
117,155000,Gd,Missing,Attchd
118,320000,Gd,TA,Attchd
119,163990,Gd,Gd,Attchd
120,180000,TA,TA,Attchd
121,100000,TA,Missing,Detchd
122,136000,TA,Missing,Attchd
123,153900,Gd,Missing,Attchd
124,181000,Gd,TA,Attchd
125,84500,TA,Missing,Missing
126,128000,Gd,TA,Attchd
127,87000,TA,TA,Missing
128,155000,TA,Fa,Attchd
129,150000,TA,Missing,2Types
130,226000,TA,Gd,Attchd
131,244000,Gd,TA,BuiltIn
132,150750,TA,Missing,Detchd
133,220000,Ex,Missing,Attchd
134,180000,TA,TA,Attchd
135,174000,TA,Gd,Attchd
136,143000,TA,Fa,Attchd
137,171000,TA,Missing,2Types
138,230000,Gd,TA,Attchd
139,231500,Gd,Missing,Attchd
140,115000,TA,Po,Missing
141,260000,Gd,Missing,Attchd
142,166000,TA,Missing,Detchd
143,204000,Gd,Missing,Attchd
144,125000,TA,Missing,Detchd
145,130000,Gd,Missing,Detchd
146,105000,TA,Missing,Detchd
147,222500,Gd,Gd,BuiltIn
148,141000,Gd,Missing,Missing
149,115000,Gd,Missing,Detchd
150,122000,TA,Missing,Attchd
151,372402,Ex,Gd,Attchd
152,190000,TA,Gd,Attchd
153,235000,Gd,Gd,Attchd
154,125000,TA,Missing,Detchd
155,79000,TA,Missing,Missing
156,109500,Missing,Missing,Detchd
157,269500,Ex,Gd,BuiltIn
158,254900,Gd,Gd,Attchd
159,320000,Gd,Gd,Attchd
160,162500,Gd,Missing,Attchd
161,412500,Ex,Gd,BuiltIn
162,220000,Gd,Gd,Attchd
163,103200,TA,Missing,Missing
164,152000,TA,Missing,Detchd
165,127500,TA,Missing,Missing
166,190000,TA,Gd,Attchd
167,325624,Ex,Gd,Attchd
168,183500,Gd,Gd,Attchd
169,228000,Gd,TA,Attchd
170,128500,TA,Missing,Detchd
171,215000,TA,Gd,Attchd
172,239000,Gd,TA,Attchd
173,163000,TA,TA,Attchd
174,184000,Gd,TA,Attchd
175,243000,TA,Gd,Attchd
176,211000,Gd,TA,Attchd
177,172500,TA,Gd,Attchd
178,501837,Ex,Gd,Attchd
179,100000,TA,Missing,Detchd
180,177000,Gd,TA,Detchd
181,200100,Fa,Gd,Detchd
182,120000,Missing,Gd,Attchd
183,200000,Gd,Missing,Detchd
184,127000,Fa,Missing,Attchd
185,475000,TA,TA,Detchd
186,173000,Gd,Missing,Attchd
187,135000,Fa,Missing,Detchd
188,153337,Gd,TA,Detchd
189,286000,Ex,Gd,Attchd
190,315000,Gd,TA,Detchd
191,184000,TA,Missing,Attchd
192,192000,Gd,Missing,Attchd
193,130000,Gd,Missing,Detchd
194,127000,TA,Missing,Detchd
195,148500,Gd,TA,Attchd
196,311872,Ex,Gd,Attchd
197,235000,TA,Ex,Detchd
198,104000,TA,Missing,Missing
199,274900,Ex,Gd,Attchd
200,140000,Gd,Missing,Attchd
201,171500,TA,Fa,Detchd
202,112000,Fa,Missing,Attchd
203,149000,Gd,Gd,Attchd
204,110000,TA,Missing,Detchd
205,180500,Gd,Missing,Attchd
206,143900,TA,TA,Attchd
207,141000,TA,Po,Attchd
208,277000,Gd,Gd,Attchd
209,145000,Gd,Missing,Attchd
210,98000,TA,Missing,Missing
211,186000,Gd,Missing,Attchd
212,252678,Gd,TA,Attchd
213,156000,Gd,Missing,Attchd
214,161750,Gd,Missing,Attchd
215,134450,TA,Fa,Attchd
216,210000,Gd,Missing,Attchd
217,107000,TA,Missing,Detchd
218,311500,TA,TA,Attchd
219,167240,Gd,Missing,Attchd
220,204900,Gd,Missing,Attchd
221,200000,Gd,TA,BuiltIn
222,179900,Gd,TA,Attchd
223,97000,TA,Missing,Detchd
224,386250,Ex,Ex,Attchd
225,112000,TA,Missing,Detchd
226,290000,Gd,TA,Attchd
227,106000,TA,Missing,Detchd
228,125000,TA,Fa,Detchd
229,192500,Gd,TA,Attchd
230,148000,TA,Missing,Attchd
231,403000,Gd,TA,Attchd
232,94500,TA,Po,Attchd
233,128200,TA,Missing,Attchd
234,216500,Gd,TA,BuiltIn
235,89500,TA,Missing,Detchd
236,185500,Gd,Missing,Attchd
237,194500,Gd,Missing,Attchd
238,318000,Ex,Missing,Attchd
239,113000,TA,Gd,Detchd
240,262500,Gd,Missing,Attchd
241,110500,TA,Missing,Missing
242,79000,TA,Missing,Attchd
243,120000,Gd,TA,Attchd
244,205000,Gd,Fa,Attchd
245,241500,Gd,TA,Attchd
246,137000,Fa,Missing,Detchd
247,140000,TA,TA,Attchd
248,180000,Gd,Missing,Attchd
249,277000,Gd,TA,Attchd
250,76500,TA,Missing,Missing
251,235000,Gd,Gd,Attchd
252,173000,Gd,Missing,Attchd
253,158000,Gd,Missing,Attchd
254,145000,TA,Missing,Attchd
255,230000,Gd,TA,BuiltIn
256,207500,Gd,Missing,Attchd
257,220000,Gd,Gd,Attchd
258,231500,Gd,TA,Attchd
259,97000,Missing,Missing,Detchd
260,176000,TA,TA,Attchd
261,276000,Ex,Gd,BuiltIn
262,151000,Gd,TA,Attchd
263,130000,TA,Missing,Detchd
264,73000,Fa,Missing,Detchd
265,175500,Gd,TA,Attchd
266,185000,Gd,TA,Attchd
267,179500,TA,Gd,Detchd
268,120500,TA,Gd,Detchd
269,148000,TA,Fa,Attchd
270,266000,Gd,Gd,Attchd
271,241500,Gd,TA,Attchd
272,290000,Gd,Gd,Attchd
273,139000,TA,Gd,Attchd
274,124500,TA,Missing,Attchd
275,205000,TA,Missing,Detchd
276,201000,Ex,Missing,Attchd
277,141000,TA,Missing,Detchd
278,415298,Ex,Ex,Attchd
279,192000,Gd,TA,Attchd
280,228500,Gd,TA,Attchd
281,185000,Gd,Missing,Attchd
282,207500,Gd,Gd,Attchd
283,244600,Gd,Gd,Attchd
284,179200,Gd,Missing,Attchd
285,164700,Gd,Missing,Detchd
286,159000,TA,Gd,Attchd
287,88000,TA,Missing,Missing
288,122000,TA,Missing,Detchd
289,153575,TA,Missing,Detchd
290,233230,Gd,Gd,Attchd
291,135900,TA,Missing,Missing
292,131000,TA,Gd,Attchd
293,235000,TA,TA,Attchd
294,167000,TA,Gd,Attchd
295,142500,TA,Missing,Detchd
296,152000,TA,Missing,Attchd
297,239000,Gd,TA,Detchd
298,175000,TA,Gd,Attchd
299,158500,TA,Gd,Attchd
300,157000,TA,Gd,Attchd
301,267000,Gd,TA,BuiltIn
302,205000,Gd,TA,Attchd
303,149900,TA,Missing,Attchd
304,295000,TA,Ex,Attchd
305,305900,Gd,Missing,Attchd
306,225000,Gd,TA,Attchd
307,89500,TA,Missing,Missing
308,82500,TA,Missing,Detchd
309,360000,Ex,Ex,Attchd
310,165600,Gd,TA,Attchd
311,132000,TA,Gd,Detchd
312,119900,Gd,Gd,Detchd
313,375000,Gd,Gd,Attchd
314,178000,TA,Gd,Detchd
315,188500,Gd,Gd,Attchd
316,260000,Gd,TA,Attchd
317,270000,Gd,Gd,Attchd
318,260000,Gd,TA,Attchd
319,187500,Gd,TA,Attchd
320,342643,Ex,Missing,Attchd
321,354000,Ex,Gd,BuiltIn
322,301000,TA,TA,Attchd
323,126175,TA,Missing,Attchd
324,242000,Gd,Gd,BuiltIn
325,87000,TA,Missing,Detchd
326,324000,Gd,Gd,Attchd
327,145250,TA,Missing,Attchd
328,214500,TA,Missing,Detchd
329,78000,TA,Missing,Detchd
330,119000,TA,Missing,Detchd
331,139000,TA,Missing,Attchd
332,284000,Gd,Gd,Attchd
333,207000,Gd,Gd,Attchd
334,192000,Gd,TA,Attchd
335,228950,TA,Gd,Attchd
336,377426,Ex,Gd,Attchd
337,214000,Gd,Missing,Attchd
338,202500,Gd,Missing,Attchd
339,155000,TA,Missing,Attchd
340,202900,Gd,Missing,Attchd
341,82000,TA,Missing,CarPort
342,87500,Missing,Missing,Detchd
343,266000,Ex,Ex,Attchd
344,85000,Gd,Missing,Attchd
345,140200,TA,Gd,Detchd
346,151500,TA,Missing,Attchd
347,157500,TA,Gd,Attchd
348,154000,Gd,Missing,BuiltIn
349,437154,Ex,Ex,Attchd
350,318061,Ex,Gd,Attchd
351,190000,Gd,TA,Attchd
352,95000,TA,Missing,Detchd
353,105900,TA,Missing,Detchd
354,140000,TA,Gd,Attchd
355,177500,Gd,Missing,Attchd
356,173000,Gd,Missing,Attchd
357,134000,Gd,Po,Attchd
358,130000,TA,Missing,BuiltIn
359,280000,Gd,TA,Attchd
360,156000,Gd,TA,Attchd
361,145000,TA,Missing,Detchd
362,198500,Missing,Ex,BuiltIn
363,118000,TA,Missing,Detchd
364,190000,Gd,TA,Attchd
365,147000,TA,Missing,Detchd
366,159000,Gd,Gd,Attchd
367,165000,Gd,Gd,Basment
368,132000,TA,Gd,Attchd
369,162000,TA,Gd,Detchd
370,172400,Gd,TA,Attchd
371,134432,Missing,Gd,Detchd
372,125000,Gd,Missing,Attchd
373,123000,TA,Missing,Attchd
374,219500,Gd,Gd,BuiltIn
375,61000,Fa,Missing,Missing
376,148000,Gd,Missing,Detchd
377,340000,Gd,Gd,Attchd
378,394432,Ex,Ex,Attchd
379,179000,Gd,TA,Attchd
380,127000,TA,Gd,Detchd
381,187750,Gd,Gd,Attchd
382,213500,Gd,Missing,Attchd
383,76000,Fa,Missing,Detchd
384,240000,Gd,Fa,Attchd
385,192000,Gd,TA,Attchd
386,81000,TA,Missing,Missing
387,125000,TA,Fa,Detchd
388,191000,Gd,Missing,Attchd
389,426000,Ex,Ex,BuiltIn
390,119000,TA,Missing,Detchd
391,215000,Ex,TA,BuiltIn
392,106500,Missing,Missing,Attchd
393,100000,TA,TA,Missing
394,109000,TA,Missing,Detchd
395,129000,TA,Missing,Attchd
396,123000,TA,Missing,Detchd
397,169500,TA,TA,Attchd
398,67000,Fa,Missing,Detchd
399,241000,Gd,Missing,Attchd
400,245500,Gd,Gd,Attchd
401,164990,Gd,Gd,Attchd
402,108000,TA,Missing,Detchd
403,258000,Gd,TA,BuiltIn
404,168000,Gd,TA,BuiltIn
405,150000,TA,TA,Attchd
406,115000,TA,Missing,Detchd
407,177000,Gd,Missing,Attchd
408,280000,Ex,Gd,Attchd
409,339750,Ex,Gd,Attchd
410,60000,TA,Missing,Attchd
411,145000,TA,Missing,Attchd
412,222000,Ex,Gd,Attchd
413,115000,TA,Gd,Detchd
414,228000,Gd,TA,Attchd
415,181134,Gd,Missing,Attchd
416,149500,TA,TA,Attchd
417,239000,Gd,Gd,Detchd
418,126000,TA,Missing,Detchd
419,142000,TA,Fa,Attchd
420,206300,Gd,Missing,Attchd
421,215000,Gd,TA,Attchd
422,113000,TA,Missing,Attchd
423,315000,Gd,TA,Attchd
424,139000,Gd,Gd,Attchd
425,135000,TA,Gd,Detchd
426,275000,Gd,TA,Attchd
427,109008,TA,Missing,Detchd
428,195400,Gd,Missing,Attchd
429,175000,Gd,TA,Attchd
430,85400,TA,Missing,Detchd
431,79900,TA,Missing,Missing
432,122500,TA,Missing,Detchd
433,181000,Gd,TA,Attchd
434,81000,Gd,Missing,Missing
435,212000,Gd,TA,Attchd
436,116000,Fa,Missing,Detchd
437,119000,TA,Missing,Detchd
438,90350,TA,Gd,Detchd
439,110000,TA,Missing,Detchd
440,555000,Ex,Gd,Attchd
441,118000,TA,Missing,Missing
442,162900,TA,Gd,Detchd
443,172500,Ex,Gd,Attchd
444,210000,Gd,TA,Attchd
445,127500,TA,Gd,Attchd
446,190000,TA,Gd,Attchd
447,199900,Gd,TA,Attchd
448,119500,TA,Gd,Detchd
449,120000,TA,Missing,Detchd
450,110000,TA,Missing,Detchd
451,280000,Gd,TA,Attchd
452,204000,Ex,Missing,Attchd
453,210000,Gd,Missing,Attchd
454,188000,TA,Missing,Detchd
455,175500,TA,TA,Attchd
456,98000,TA,Missing,Detchd
457,256000,Gd,Gd,Attchd
458,161000,TA,Gd,Detchd
459,110000,TA,TA,Detchd
460,263435,Gd,Missing,BuiltIn
461,155000,Gd,Missing,Detchd
462,62383,TA,Po,Detchd
463,188700,TA,Gd,Detchd
464,124000,Gd,Missing,Missing
465,178740,Gd,TA,Attchd
466,167000,TA,Po,Attchd
467,146500,TA,Gd,Attchd
468,250000,Gd,Gd,Attchd
469,187000,Gd,Missing,Attchd
470,212000,Gd,Missing,Attchd
471,190000,Gd,Gd,Attchd
472,148000,Gd,Missing,Basment
473,440000,Ex,Ex,Attchd
474,251000,Gd,Missing,Attchd
475,132500,TA,Missing,Detchd
476,208900,Gd,TA,Attchd
477,380000,Gd,Gd,BuiltIn
478,297000,Ex,Gd,Attchd
479,89471,Fa,Missing,Detchd
480,326000,Ex,Gd,Attchd
481,374000,Ex,Gd,Attchd
482,155000,TA,Gd,Attchd
483,164000,Ex,Missing,Attchd
484,132500,TA,Missing,Detchd
485,147000,TA,Gd,Attchd
486,156000,TA,Missing,Attchd
487,175000,Gd,TA,Attchd
488,160000,TA,Gd,Attchd
489,86000,Gd,Missing,Attchd
490,115000,Gd,Gd,BuiltIn
491,133000,TA,TA,Attchd
492,172785,Gd,Missing,Attchd
493,155000,TA,Fa,Detchd
494,91300,Fa,Missing,Attchd
495,34900,TA,Missing,Missing
496,430000,Gd,Gd,Attchd
497,184000,TA,Missing,Detchd
498,130000,TA,Missing,Attchd
499,120000,TA,Missing,Attchd
500,113000,TA,Missing,Detchd
501,226700,Gd,Missing,Attchd
502,140000,TA,Missing,Detchd
503,289000,TA,TA,Attchd
504,147000,TA,Fa,Attchd
505,124500,TA,Missing,Detchd
506,215000,Gd,TA,Attchd
507,208300,Gd,Missing,Attchd
508,161000,TA,Gd,Detchd
509,124500,TA,Missing,Attchd
510,164900,TA,TA,CarPort
511,202665,Gd,Gd,Attchd
512,129900,TA,Missing,Detchd
513,134000,TA,Missing,Attchd
514,96500,TA,Missing,Detchd
515,402861,Ex,Gd,Attchd
516,158000,TA,TA,Attchd
517,265000,Gd,TA,Attchd
518,211000,Gd,Missing,Attchd
519,234000,Gd,Gd,Detchd
520,106250,Missing,Missing,Missing
521,150000,TA,Gd,Attchd
522,159000,TA,Gd,Detchd
523,184750,Ex,Gd,BuiltIn
524,315750,Gd,TA,Attchd
525,176000,Gd,TA,Attchd
526,132000,Gd,Missing,Attchd
527,446261,Ex,Gd,Attchd
528,86000,TA,Missing,Missing
529,200624,TA,TA,Attchd
530,175000,Gd,Fa,Attchd
531,128000,Fa,Missing,Detchd
532,107500,Missing,Po,Detchd
533,39300,Missing,Missing,Missing
534,178000,Ex,Gd,Attchd
535,107500,Gd,Missing,Missing
536,188000,Gd,Missing,Attchd
537,111250,TA,Missing,Detchd
538,158000,TA,Fa,Attchd
539,272000,Gd,TA,Attchd
540,315000,Ex,Gd,Attchd
541,248000,Gd,TA,BuiltIn
542,213250,Ex,TA,Attchd
543,133000,Gd,Missing,Attchd
544,179665,Gd,Gd,Attchd
545,229000,Gd,Missing,Attchd
546,210000,Gd,Gd,Detchd
547,129500,Gd,Missing,Detchd
548,125000,TA,Missing,Detchd
549,263000,Gd,Gd,BuiltIn
550,140000,Gd,Missing,Attchd
551,112500,TA,Missing,Attchd
552,255500,Ex,Gd,Attchd
553,108000,Missing,Missing,Detchd
554,284000,Gd,Gd,BuiltIn
555,113000,TA,Gd,Detchd
556,141000,TA,TA,Attchd
557,108000,TA,Missing,CarPort
558,175000,Gd,TA,Attchd
559,234000,Gd,TA,Attchd
560,121500,Gd,Gd,Detchd
561,170000,Gd,TA,Attchd
562,108000,TA,Gd,Missing
563,185000,Gd,Gd,Detchd
564,268000,Gd,TA,Attchd
565,128000,Gd,Missing,Detchd
566,325000,Gd,Gd,BuiltIn
567,214000,Gd,Missing,Attchd
568,316600,Gd,Gd,BuiltIn
569,135960,Gd,TA,Detchd
570,142600,TA,Missing,Detchd
571,120000,TA,Missing,Attchd
572,224500,Ex,Missing,Attchd
573,170000,Gd,TA,BuiltIn
574,139000,TA,Missing,BuiltIn
575,118500,TA,Missing,Detchd
576,145000,TA,Gd,Detchd
577,164500,TA,Fa,Attchd
578,146000,Gd,Missing,Detchd
579,131500,TA,Missing,Attchd
580,181900,TA,Gd,Attchd
581,253293,Ex,Gd,Attchd
582,118500,Gd,Missing,Missing
583,325000,TA,Gd,Detchd
584,133000,TA,Missing,Detchd
585,369900,Ex,Gd,Attchd
586,130000,TA,Missing,Detchd
587,137000,TA,Missing,Detchd
588,143000,TA,Gd,Attchd
589,79500,TA,Missing,Detchd
590,185900,Gd,Missing,Attchd
591,451950,Ex,Gd,BuiltIn
592,138000,TA,Missing,Detchd
593,140000,Gd,Missing,Attchd
594,110000,Gd,Missing,Detchd
595,319000,Gd,TA,Attchd
596,114504,TA,Missing,Detchd
597,194201,Ex,Gd,Attchd
598,217500,Gd,TA,Attchd
599,151000,Gd,TA,Attchd
600,275000,Gd,Gd,BuiltIn
601,141000,TA,Gd,Detchd
602,220000,Gd,TA,Attchd
603,151000,Gd,Missing,Detchd
604,221000,Gd,TA,Attchd
605,205000,TA,Fa,Attchd
606,152000,Gd,Missing,Detchd
607,225000,TA,Missing,Attchd
608,359100,Gd,Gd,Basment
609,118500,TA,Missing,Attchd
610,313000,Ex,Ex,Attchd
611,148000,Gd,TA,Attchd
612,261500,Gd,TA,BuiltIn
613,147000,Gd,Missing,Missing
614,75500,Gd,Missing,Missing
615,137500,TA,Missing,Attchd
616,183200,Gd,Gd,Attchd
617,105500,TA,Missing,Detchd
618,314813,Ex,Gd,Attchd
619,305000,Gd,Gd,Attchd
620,67000,TA,Missing,Missing
621,240000,TA,TA,Attchd
622,135000,TA,Missing,Detchd
623,168500,Gd,TA,Detchd
624,165150,TA,TA,Attchd
625,160000,TA,Missing,Attchd
626,139900,TA,TA,Attchd
627,153000,TA,Gd,Basment
628,135000,Gd,TA,Attchd
629,168500,TA,Missing,Attchd
630,124000,Fa,Missing,Detchd
631,209500,Gd,Gd,Attchd
632,82500,TA,TA,Attchd
633,139400,TA,Missing,Attchd
634,144000,TA,Missing,Detchd
635,200000,TA,Missing,Missing
636,60000,TA,Po,Missing
637,93000,TA,Missing,BuiltIn
638,85000,Fa,Missing,Missing
639,264561,Gd,Gd,Attchd
640,274000,Ex,Gd,Attchd
641,226000,Gd,TA,Attchd
642,345000,Gd,TA,Attchd
643,152000,TA,Missing,Attchd
644,370878,Ex,Gd,Attchd
645,143250,TA,Missing,Detchd
646,98300,Missing,Missing,Detchd
647,155000,TA,Gd,Attchd
648,155000,TA,TA,Attchd
649,84500,Gd,Missing,Missing
650,205950,Gd,Missing,Attchd
651,108000,TA,Gd,Detchd
652,191000,Gd,TA,Attchd
653,135000,TA,Missing,Detchd
654,350000,Gd,TA,Attchd
655,88000,TA,Missing,Detchd
656,145500,TA,Missing,Attchd
657,149000,Gd,Gd,Attchd
658,97500,TA,Gd,Attchd
659,167000,TA,Missing,Detchd
660,197900,Gd,TA,Attchd
661,402000,Gd,TA,Attchd
662,110000,Fa,TA,Attchd
663,137500,Gd,Missing,Detchd
664,423000,Ex,Ex,Attchd
665,230500,Gd,TA,Attchd
666,129000,Gd,Po,CarPort
667,193500,Gd,Fa,Attchd
668,168000,TA,TA,Detchd
669,137500,Fa,Gd,Detchd
670,173500,Gd,Missing,Attchd
671,103600,TA,Missing,Detchd
672,165000,Gd,TA,Attchd
673,257500,TA,TA,Attchd
674,140000,TA,Gd,Attchd
675,148500,TA,TA,Attchd
676,87000,TA,Missing,2Types
677,109500,TA,Missing,Detchd
678,372500,Ex,Gd,Attchd
679,128500,TA,Missing,Detchd
680,143000,Gd,TA,Attchd
681,159434,TA,Missing,Detchd
682,173000,Gd,Gd,Attchd
683,285000,Gd,TA,Attchd
684,221000,Gd,Missing,Attchd
685,207500,Gd,TA,Attchd
686,227875,Gd,Missing,Attchd
687,148800,Gd,Missing,Detchd
688,392000,Gd,Gd,Attchd
689,194700,Gd,Gd,Attchd
690,141000,Gd,TA,Attchd
691,755000,Ex,Ex,Attchd
692,335000,Gd,Gd,Attchd
693,108480,TA,Missing,Detchd
694,141500,TA,Missing,Detchd
695,176000,Gd,TA,Attchd
696,89000,TA,Missing,Detchd
697,123500,Ex,Missing,Detchd
698,138500,TA,Gd,Detchd
699,196000,Gd,Missing,Attchd
700,312500,Ex,Gd,Attchd
701,140000,TA,Missing,Attchd
702,361919,Ex,Gd,BuiltIn
703,140000,Gd,Po,Detchd
704,213000,Gd,Missing,Attchd
705,55000,Missing,Missing,Missing
706,302000,Gd,TA,Attchd
707,254000,Gd,Gd,Attchd
708,179540,Gd,Gd,Attchd
709,109900,TA,Missing,Attchd
710,52000,TA,Missing,Missing
711,102776,TA,Missing,Detchd
712,189000,Gd,Gd,Attchd
713,129000,TA,Missing,Detchd
714,130500,TA,Missing,Attchd
715,165000,Gd,TA,Attchd
716,159500,TA,Missing,Detchd
717,157000,Gd,Fa,Attchd
718,341000,Gd,TA,Attchd
719,128500,Gd,Po,Attchd
720,275000,Gd,TA,Attchd
721,143000,Gd,Missing,Attchd
722,124500,TA,Missing,Detchd
723,135000,TA,Missing,Detchd
724,320000,Ex,Gd,Attchd
725,120500,TA,Missing,Detchd
726,222000,Gd,Gd,Attchd
727,194500,Gd,Missing,Attchd
728,110000,TA,Missing,Detchd
729,103000,TA,Missing,Detchd
730,236500,Gd,TA,Attchd
731,187500,Ex,Gd,Attchd
732,222500,Gd,TA,Attchd
733,131400,TA,TA,Attchd
734,108000,TA,Missing,Attchd
735,163000,Gd,TA,Detchd
736,93500,Missing,Missing,Detchd
737,239900,Gd,Gd,Attchd
738,179000,Gd,Missing,Missing
739,190000,Gd,Missing,Attchd
740,132000,Fa,Missing,Detchd
